no,wage,lnwage,gender,age,married,education,experience
1,270.8333 ,5.6015 ,1,33,0,9,2
2,175.0000 ,5.1648 ,1,36,1,12,125
3,116.0714 ,4.7542 ,0,28,1,12,26
4,136.3636 ,4.9153 ,1,47,1,6,114
5,229.1667 ,5.4344 ,0,23,0,16,8
6,212.5000 ,5.3589 ,1,31,1,12,32
7,197.9167 ,5.2878 ,1,51,1,12,233
8,204.5455 ,5.3208 ,0,24,0,16,32
9,416.6667 ,6.0323 ,1,37,1,9,87
10,250.0000 ,5.5215 ,1,42,1,9,78
11,193.1818 ,5.2636 ,1,28,0,15,63
12,130.2083 ,4.8691 ,0,25,0,12,18
13,182.2917 ,5.2056 ,1,24,0,12,26
14,175.0000 ,5.1648 ,1,55,1,6,257
15,166.6667 ,5.1160 ,0,50,1,6,76
16,156.2500 ,5.0515 ,1,25,0,12,22
17,175.9259 ,5.1701 ,1,38,1,6,20
18,306.8182 ,5.7263 ,1,43,1,15,8
19,272.7273 ,5.6085 ,0,41,1,15,56
20,136.3636 ,4.9153 ,1,37,1,9,134
21,54.1667 ,3.9921 ,0,36,1,6,28
22,178.5714 ,5.1850 ,1,46,1,9,1
23,166.6667 ,5.1160 ,1,43,1,6,99
24,85.2273 ,4.4453 ,0,18,0,12,11
25,187.5000 ,5.2338 ,1,43,1,12,113
26,192.3077 ,5.2591 ,1,47,1,6,150
27,238.0952 ,5.4727 ,0,41,1,15,158
28,277.7778 ,5.6268 ,1,43,1,16,94
29,198.8636 ,5.2926 ,0,30,1,15,41
30,227.2727 ,5.4262 ,1,33,1,16,9
31,255.6818 ,5.5439 ,1,43,1,12,158
32,119.3182 ,4.7818 ,0,38,1,9,246
33,255.6818 ,5.5439 ,0,47,0,16,307
34,204.5455 ,5.3208 ,0,40,0,12,58
35,234.3750 ,5.4569 ,1,37,1,12,63
36,142.0455 ,4.9561 ,0,36,1,15,125
37,255.1020 ,5.5417 ,1,36,1,12,159
38,214.2857 ,5.3673 ,1,41,1,9,161
39,300.0000 ,5.7038 ,0,45,0,9,10
40,109.3750 ,4.6948 ,1,55,1,6,74
41,175.0000 ,5.1648 ,1,34,0,12,10
42,156.2500 ,5.0515 ,1,27,0,12,2
43,218.7500 ,5.3879 ,1,27,1,12,41
44,125.0000 ,4.8283 ,0,22,1,12,22
45,162.0370 ,5.0878 ,1,31,0,12,3
46,178.5714 ,5.1850 ,1,51,1,16,116
47,568.1818 ,6.3424 ,1,49,1,16,101
48,250.0000 ,5.5215 ,1,67,1,6,120
49,75.0000 ,4.3175 ,0,55,1,0,120
50,147.7273 ,4.9954 ,1,29,1,12,32
51,159.0909 ,5.0695 ,1,37,1,15,32
52,244.3182 ,5.4985 ,1,35,1,12,30
53,227.2727 ,5.4262 ,1,27,0,16,32
54,312.5000 ,5.7446 ,1,57,1,6,120
55,156.2500 ,5.0515 ,1,30,0,12,19
56,239.5833 ,5.4789 ,1,42,0,6,41
57,178.5714 ,5.1850 ,1,42,0,12,30
58,204.5455 ,5.3208 ,1,31,1,16,1
59,181.8182 ,5.2030 ,0,29,1,15,56
60,156.2500 ,5.0515 ,1,40,1,12,132
61,62.5000 ,4.1352 ,0,34,1,12,18
62,164.0625 ,5.1002 ,1,38,1,9,21
63,66.6667 ,4.1997 ,0,39,1,12,14
64,92.5926 ,4.5282 ,0,45,1,6,7
65,208.3333 ,5.3391 ,1,28,0,12,22
66,93.7500 ,4.5406 ,1,17,1,12,4
67,182.2917 ,5.2056 ,1,46,1,9,186
68,201.6129 ,5.3063 ,1,35,1,12,31
69,114.5833 ,4.7413 ,1,59,1,15,36
70,104.1667 ,4.6460 ,0,50,1,9,84
71,113.6364 ,4.7330 ,0,22,0,15,1
72,182.2917 ,5.2056 ,0,31,0,12,108
73,166.6667 ,5.1160 ,1,39,1,15,22
74,230.0000 ,5.4381 ,1,51,1,6,240
75,142.0455 ,4.9561 ,0,25,0,15,20
76,113.6364 ,4.7330 ,0,24,0,15,39
77,145.8333 ,4.9825 ,1,49,1,9,20
78,135.4167 ,4.9084 ,0,24,0,15,22
79,93.7500 ,4.5406 ,1,28,1,6,17
80,218.7500 ,5.3879 ,1,42,0,12,144
81,141.3043 ,4.9509 ,0,38,1,12,18
82,200.0000 ,5.2983 ,1,38,1,12,60
83,182.6923 ,5.2078 ,1,30,1,12,21
84,100.0000 ,4.6052 ,0,29,1,9,48
85,217.3913 ,5.3817 ,1,40,1,12,180
86,234.3750 ,5.4569 ,1,39,0,15,204
87,143.9394 ,4.9694 ,1,36,1,12,156
88,218.7500 ,5.3879 ,1,34,0,9,75
89,187.5000 ,5.2338 ,1,38,1,6,264
90,83.3333 ,4.4228 ,0,37,1,12,99
91,151.5152 ,5.0207 ,1,43,1,9,34
92,104.1667 ,4.6460 ,0,41,1,6,18
93,156.2500 ,5.0515 ,1,58,1,0,300
94,69.4444 ,4.2405 ,1,16,0,12,14
95,114.5833 ,4.7413 ,0,45,1,15,76
96,291.6667 ,5.6756 ,1,47,1,15,276
97,181.8182 ,5.2030 ,1,33,0,12,4
98,175.0000 ,5.1648 ,1,31,0,12,4
99,177.0833 ,5.1766 ,1,29,0,12,3
100,136.3636 ,4.9153 ,0,23,0,12,22
101,104.1667 ,4.6460 ,0,22,0,12,4
102,91.6667 ,4.5182 ,0,42,0,6,43
103,208.3333 ,5.3391 ,1,42,1,9,132
104,260.4167 ,5.5623 ,1,29,1,12,66
105,218.7500 ,5.3879 ,0,30,1,15,86
106,214.2857 ,5.3673 ,1,36,1,9,3
107,150.0000 ,5.0106 ,0,25,0,12,5
108,138.8889 ,4.9337 ,0,23,0,12,22
109,133.3333 ,4.8929 ,0,45,1,12,36
110,130.2083 ,4.8691 ,1,39,0,12,84
111,176.1364 ,5.1713 ,1,47,1,9,240
112,125.0000 ,4.8283 ,1,21,0,12,5
113,234.3750 ,5.4569 ,1,41,1,6,120
114,90.9091 ,4.5099 ,0,18,0,12,9
115,195.3125 ,5.2746 ,1,49,1,6,240
116,250.0000 ,5.5215 ,0,43,1,6,120
117,83.3333 ,4.4228 ,0,23,0,9,24
118,312.5000 ,5.7446 ,1,42,1,6,13
119,95.8333 ,4.5626 ,1,66,0,9,11
120,100.8065 ,4.6132 ,1,47,1,12,120
121,141.6667 ,4.9535 ,0,47,1,6,1
122,250.0000 ,5.5215 ,1,45,1,12,192
123,750.0000 ,6.6201 ,1,42,1,12,106
124,187.5000 ,5.2338 ,1,47,1,12,180
125,156.2500 ,5.0515 ,1,34,1,12,54
126,288.4615 ,5.6646 ,1,32,1,16,19
127,234.3750 ,5.4569 ,1,42,1,6,24
128,114.1304 ,4.7373 ,1,24,0,12,4
129,231.4815 ,5.4445 ,0,37,0,9,4
130,260.4167 ,5.5623 ,1,37,1,12,9
131,85.2273 ,4.4453 ,0,37,1,12,9
132,117.1875 ,4.7638 ,1,40,1,6,120
133,117.1875 ,4.7638 ,0,36,1,9,120
134,312.5000 ,5.7446 ,0,38,1,6,2
135,468.7500 ,6.1501 ,1,40,1,6,2
136,136.3636 ,4.9153 ,1,58,1,6,120
137,159.0909 ,5.0695 ,0,25,0,16,40
138,113.6364 ,4.7330 ,0,24,0,16,4
139,104.1667 ,4.6460 ,1,42,1,6,10
140,130.2083 ,4.8691 ,0,40,1,6,156
